site_id,planning_area,facility_area_sqft,planned_units,rent_psf_month_sgd,lease_term_years,fitout_cost_sgd,annual_staff_cost_sgd,avg_monthly_price_sgd,target_occupancy,initial_investment_sgd,projected_annual_revenue_sgd,projected_annual_ebitda_sgd,projected_payback_years
SITE-01,Punggol,25733,821,5.65,7,1611647,223712,277.13,0.733,1902392,3240053,753466,2.52
SITE-02,Sengkang,33215,800,3.9,7,1514093,332295,181.2,0.745,1773419,2781708,448383,3.96
SITE-03,Tampines,27079,875,3.5,7,1371319,356260,253.26,0.823,1561118,3500553,1445414,1.08
SITE-04,Jurong West,34491,722,5.1,10,1356178,272718,253.45,0.818,1708248,4432650,1338292,1.28
SITE-05,Woodlands,38187,631,3.86,7,1146619,309060,289.96,0.742,1441058,5092237,2201785,0.65
SITE-06,Yishun,30060,547,5.36,10,1380472,284439,256.92,0.776,1702570,3713749,902518,1.89
SITE-07,Choa Chu Kang,24171,548,4.22,10,1510118,330725,282.18,0.851,1714217,3598273,1467232,1.17
SITE-08,Serangoon,36280,871,6.17,10,1758190,248803,261.49,0.82,2206244,4825685,1116447,1.98
SITE-09,Pasir Ris,41017,790,4.04,5,1573349,333028,278.68,0.74,1904630,5244119,2084348,0.91
SITE-10,Bukit Batok,27865,829,3.86,10,1432192,267343,214.14,0.78,1647207,2884367,865437,1.9
SITE-11,Ang Mo Kio,35254,899,4.56,10,1484178,358362,287.18,0.731,1805474,4586171,1566246,1.15
SITE-12,Clementi,29020,749,3.73,7,1340760,246850,289.81,0.774,1557124,4035170,1844504,0.84
