enquiry_id,enquiry_date,planning_area,lead_source,storage_size_band,customer_type,quoted_monthly_price_sgd,converted,churned
ENQ-00001,2025-06-22,Choa Chu Kang,Meta Ads,Medium,Household,291.6,0,0
ENQ-00002,2025-11-03,Ang Mo Kio,Google Search,Locker,E-commerce,99.83,0,0
ENQ-00003,2025-08-20,Pioneer,Partner,Medium,Household,328.92,0,0
ENQ-00004,2025-08-27,Marina East,Google Search,Small,SME,184.34,0,0
ENQ-00005,2025-03-14,Toa Payoh,Referral,Locker,E-commerce,96.49,0,0
ENQ-00006,2025-08-17,Bishan,Google Search,Locker,Relocation,83.32,0,0
ENQ-00007,2025-01-17,Central Water Catchment,Google Search,Large,Household,476.32,0,0
ENQ-00008,2025-03-22,Sengkang,Meta Ads,Medium,SME,279.1,0,0
ENQ-00009,2025-12-31,Toa Payoh,Partner,Medium,Household,333.45,0,0
ENQ-00010,2025-09-27,Choa Chu Kang,Google Search,Locker,E-commerce,83.59,0,0
ENQ-00011,2025-04-13,River Valley,Google Search,Locker,SME,83.71,1,0
ENQ-00012,2025-07-02,Tuas,Meta Ads,Small,SME,186.23,0,0
ENQ-00013,2025-01-16,Newton,Organic,Small,Student/Expats,182.79,0,1
ENQ-00014,2025-05-21,Jurong West,Google Search,Small,Relocation,162.43,1,1
ENQ-00015,2025-08-24,Tengah,Walk-in,Medium,Student/Expats,316.7,0,0
ENQ-00016,2025-03-06,Bukit Merah,Organic,Small,Household,174.93,0,0
ENQ-00017,2025-07-12,Tanglin,Google Search,Large,Household,459.04,1,0
ENQ-00018,2025-03-02,Straits View,Walk-in,Small,SME,201.79,0,0
ENQ-00019,2025-06-02,Museum,Organic,Medium,Household,321.74,0,0
ENQ-00020,2025-11-26,Changi,Google Search,Locker,Household,102.54,0,0
ENQ-00021,2025-08-03,Changi Bay,Walk-in,Large,Relocation,434.0,0,0
ENQ-00022,2025-08-04,Pasir Ris,Partner,Large,Household,500.01,1,0
ENQ-00023,2025-04-08,Straits View,Google Search,Small,Household,183.45,1,0
ENQ-00024,2025-01-09,Mandai,Meta Ads,Small,Relocation,174.66,0,1
ENQ-00025,2025-06-25,Bukit Merah,Google Search,Small,Household,192.75,1,0
ENQ-00026,2025-10-28,Tuas,Meta Ads,Small,SME,177.65,0,0
ENQ-00027,2025-10-16,Seletar,Partner,Medium,E-commerce,322.67,0,0
ENQ-00028,2025-02-14,Lim Chu Kang,Partner,Medium,SME,315.57,1,0
ENQ-00029,2025-01-31,Bukit Timah,Organic,Medium,Household,314.9,1,0
ENQ-00030,2025-03-18,Kallang,Organic,Small,Household,189.76,0,0
ENQ-00031,2025-12-20,River Valley,Meta Ads,Medium,SME,268.76,0,0
ENQ-00032,2025-11-15,Orchard,Meta Ads,Small,Household,197.5,0,0
ENQ-00033,2025-08-07,Bukit Batok,Meta Ads,Locker,E-commerce,91.66,1,1
ENQ-00034,2025-11-02,Punggol,Organic,Large,SME,488.47,0,0
ENQ-00035,2025-02-02,Outram,Meta Ads,Small,SME,192.75,0,0
ENQ-00036,2025-01-04,Outram,Google Search,Small,Household,197.77,0,0
ENQ-00037,2025-06-24,Bedok,Google Search,Medium,SME,329.94,1,0
ENQ-00038,2025-10-30,Sengkang,Organic,Small,SME,174.34,0,0
ENQ-00039,2025-01-15,Southern Islands,Meta Ads,Medium,Household,312.83,0,0
ENQ-00040,2025-03-13,Woodlands,Google Search,Locker,Household,84.46,0,0
ENQ-00041,2025-12-15,Choa Chu Kang,Walk-in,Locker,Household,94.87,0,0
ENQ-00042,2025-09-30,Kallang,Referral,Medium,Household,277.35,1,0
ENQ-00043,2025-04-27,Tengah,Walk-in,Medium,Household,271.84,0,0
ENQ-00044,2025-04-05,Punggol,Meta Ads,Medium,SME,330.07,0,0
ENQ-00045,2025-03-29,Bukit Timah,Referral,Locker,Household,81.41,0,0
ENQ-00046,2025-07-21,Newton,Google Search,Medium,Relocation,299.73,0,0
ENQ-00047,2025-04-26,Jurong West,Walk-in,Small,Household,171.04,0,0
ENQ-00048,2025-11-01,Mandai,Walk-in,Large,Household,482.4,0,0
ENQ-00049,2025-07-23,Sungei Kadut,Meta Ads,Medium,E-commerce,285.61,0,0
ENQ-00050,2025-07-27,Sembawang,Organic,Medium,E-commerce,307.66,0,0
ENQ-00051,2025-01-12,Hougang,Meta Ads,Small,Household,171.86,0,0
ENQ-00052,2025-08-09,Clementi,Referral,Medium,SME,301.26,0,0
ENQ-00053,2025-11-08,Orchard,Google Search,Large,SME,492.23,1,1
ENQ-00054,2025-11-28,Newton,Organic,Locker,Relocation,100.04,0,0
ENQ-00055,2025-06-01,Sembawang,Partner,Medium,SME,263.13,0,0
ENQ-00056,2025-09-19,Marine Parade,Organic,Medium,Relocation,287.04,0,0
ENQ-00057,2025-08-13,Sengkang,Walk-in,Locker,E-commerce,85.04,1,0
ENQ-00058,2025-11-21,Straits View,Google Search,Locker,Household,90.11,0,0
ENQ-00059,2025-05-10,Sembawang,Organic,Locker,SME,89.98,0,1
ENQ-00060,2025-06-13,Ang Mo Kio,Google Search,Large,Household,422.45,1,0
ENQ-00061,2025-11-28,Geylang,Google Search,Medium,Household,305.74,0,0
ENQ-00062,2025-10-11,Sembawang,Partner,Locker,E-commerce,91.68,0,0
ENQ-00063,2025-07-26,Yishun,Google Search,Medium,SME,332.54,1,0
ENQ-00064,2025-10-12,Toa Payoh,Google Search,Medium,Household,267.42,1,0
ENQ-00065,2025-10-03,Jurong East,Google Search,Large,Relocation,523.46,0,0
ENQ-00066,2025-07-03,River Valley,Partner,Small,SME,168.28,1,0
ENQ-00067,2025-08-22,Novena,Google Search,Medium,Household,313.99,1,0
ENQ-00068,2025-03-27,Changi Bay,Walk-in,Small,SME,178.84,1,0
ENQ-00069,2025-05-16,Toa Payoh,Google Search,Medium,E-commerce,318.67,0,0
ENQ-00070,2025-05-22,River Valley,Google Search,Small,SME,191.6,0,0
ENQ-00071,2025-06-10,Downtown Core,Meta Ads,Small,Student/Expats,187.52,0,0
ENQ-00072,2025-05-12,Southern Islands,Meta Ads,Medium,E-commerce,318.84,0,0
ENQ-00073,2025-11-06,Tampines,Partner,Medium,Household,305.21,0,0
ENQ-00074,2025-11-01,Outram,Google Search,Medium,Household,303.56,1,0
ENQ-00075,2025-09-22,Bedok,Referral,Small,Student/Expats,183.56,1,0
ENQ-00076,2025-05-13,Jurong East,Referral,Small,SME,189.36,0,0
ENQ-00077,2025-12-30,Western Water Catchment,Google Search,Large,Household,414.87,0,0
ENQ-00078,2025-10-19,Tanglin,Walk-in,Large,Household,454.44,1,0
ENQ-00079,2025-02-21,North-Eastern Islands,Referral,Medium,Relocation,303.12,1,0
ENQ-00080,2025-03-18,Bedok,Google Search,Small,Household,192.65,1,0
ENQ-00081,2025-11-08,Choa Chu Kang,Walk-in,Medium,Household,291.78,1,0
ENQ-00082,2025-06-22,Simpang,Partner,Medium,Relocation,320.39,0,0
ENQ-00083,2025-09-28,Downtown Core,Meta Ads,Medium,Household,326.25,0,0
ENQ-00084,2025-03-09,Straits View,Organic,Small,Student/Expats,192.04,1,0
ENQ-00085,2025-08-30,Newton,Meta Ads,Locker,Household,91.64,0,0
ENQ-00086,2025-05-23,Straits View,Partner,Small,Household,173.56,0,0
ENQ-00087,2025-09-15,Tanglin,Partner,Small,SME,181.92,0,0
ENQ-00088,2025-10-07,Hougang,Meta Ads,Locker,Household,94.01,0,0
ENQ-00089,2025-08-17,Tuas,Organic,Large,Household,440.07,0,0
ENQ-00090,2025-11-12,Central Water Catchment,Google Search,Locker,E-commerce,93.15,0,0
ENQ-00091,2025-02-27,Simpang,Walk-in,Small,SME,191.78,0,0
ENQ-00092,2025-04-26,Rochor,Walk-in,Locker,SME,84.94,0,0
ENQ-00093,2025-04-16,Novena,Meta Ads,Locker,Household,88.82,0,0
ENQ-00094,2025-01-30,Novena,Google Search,Small,Household,206.66,0,0
ENQ-00095,2025-05-29,Rochor,Meta Ads,Locker,Household,100.46,0,0
ENQ-00096,2025-08-14,Boon Lay,Google Search,Locker,Household,88.69,0,0
ENQ-00097,2025-11-27,Downtown Core,Walk-in,Medium,Household,324.32,1,0
ENQ-00098,2025-12-08,Marine Parade,Referral,Medium,Household,289.8,0,0
ENQ-00099,2025-08-04,Rochor,Google Search,Small,E-commerce,171.54,0,0
ENQ-00100,2025-03-07,Marina South,Walk-in,Locker,Household,93.89,0,0
ENQ-00101,2025-06-13,Newton,Walk-in,Medium,Household,321.13,0,0
ENQ-00102,2025-01-25,Bukit Panjang,Referral,Medium,Household,297.69,1,1
ENQ-00103,2025-10-15,Jurong East,Walk-in,Locker,SME,100.71,1,0
ENQ-00104,2025-12-15,Orchard,Organic,Locker,SME,89.7,0,0
ENQ-00105,2025-05-10,Tanglin,Partner,Small,E-commerce,175.38,0,0
ENQ-00106,2025-11-25,Sengkang,Google Search,Medium,Household,311.14,0,0
ENQ-00107,2025-09-30,Tuas,Google Search,Small,Household,191.51,0,0
ENQ-00108,2025-04-26,Straits View,Organic,Small,SME,185.65,0,0
ENQ-00109,2025-05-13,Serangoon,Referral,Locker,Household,81.43,1,0
ENQ-00110,2025-03-06,Pioneer,Partner,Small,Student/Expats,170.95,1,1
ENQ-00111,2025-07-07,Pasir Ris,Google Search,Medium,SME,271.82,1,0
ENQ-00112,2025-09-09,North-Eastern Islands,Partner,Medium,E-commerce,323.32,0,0
ENQ-00113,2025-04-15,Central Water Catchment,Walk-in,Locker,SME,99.2,1,0
ENQ-00114,2025-11-10,Western Water Catchment,Meta Ads,Small,E-commerce,184.3,0,0
ENQ-00115,2025-03-20,Central Water Catchment,Walk-in,Large,Household,426.15,0,0
ENQ-00116,2025-11-29,Clementi,Partner,Locker,E-commerce,99.05,1,1
ENQ-00117,2025-10-04,Sembawang,Walk-in,Small,Household,205.68,0,0
ENQ-00118,2025-09-18,Bukit Timah,Google Search,Medium,Student/Expats,291.76,1,0
ENQ-00119,2025-08-11,Pasir Ris,Walk-in,Medium,Household,309.38,1,0
ENQ-00120,2025-03-19,Bukit Batok,Referral,Locker,Relocation,101.16,0,0
ENQ-00121,2025-09-15,Woodlands,Meta Ads,Medium,SME,319.85,0,0
ENQ-00122,2025-09-30,Marine Parade,Organic,Large,Household,463.69,0,0
ENQ-00123,2025-08-01,Serangoon,Google Search,Medium,SME,332.95,0,0
ENQ-00124,2025-09-25,Pioneer,Meta Ads,Large,Household,466.96,0,0
ENQ-00125,2025-05-31,Choa Chu Kang,Referral,Medium,Household,332.39,0,0
ENQ-00126,2025-09-15,Punggol,Meta Ads,Locker,E-commerce,85.8,0,0
ENQ-00127,2025-10-05,Jurong West,Referral,Medium,SME,282.57,0,0
ENQ-00128,2025-04-18,Pioneer,Google Search,Medium,E-commerce,294.46,1,0
ENQ-00129,2025-01-03,Bukit Merah,Organic,Large,Household,506.01,0,0
ENQ-00130,2025-08-19,Changi,Organic,Medium,SME,300.06,0,0
ENQ-00131,2025-07-28,Jurong East,Meta Ads,Locker,E-commerce,96.26,0,0
ENQ-00132,2025-11-08,Bukit Panjang,Organic,Small,Household,190.95,0,0
ENQ-00133,2025-10-20,Toa Payoh,Google Search,Medium,Household,263.11,1,0
ENQ-00134,2025-01-20,Seletar,Referral,Small,Student/Expats,194.55,1,0
ENQ-00135,2025-09-11,Boon Lay,Partner,Small,SME,163.03,0,0
ENQ-00136,2025-06-01,Queenstown,Meta Ads,Small,E-commerce,197.49,0,0
ENQ-00137,2025-12-16,Marina East,Google Search,Small,Household,171.93,0,0
ENQ-00138,2025-11-09,Hougang,Organic,Large,SME,487.16,0,0
ENQ-00139,2025-02-16,Bukit Panjang,Referral,Medium,Household,303.61,1,0
ENQ-00140,2025-09-16,Western Water Catchment,Meta Ads,Locker,Household,87.14,0,0
ENQ-00141,2025-02-04,Tengah,Meta Ads,Small,Student/Expats,170.37,0,0
ENQ-00142,2025-12-22,Bukit Merah,Meta Ads,Locker,Household,92.17,0,0
ENQ-00143,2025-10-24,Bukit Panjang,Google Search,Locker,SME,97.91,0,0
ENQ-00144,2025-12-30,Rochor,Google Search,Locker,Household,87.2,0,0
ENQ-00145,2025-07-01,Novena,Google Search,Small,Student/Expats,169.04,0,0
ENQ-00146,2025-09-07,Punggol,Organic,Medium,Household,316.96,1,0
