store_id,month,occupancy_pct,revenue_sgd,rent_sgd,staff_cost_sgd,other_opex_sgd,ebitda_sgd
STORE-01,2025-01-01,94.0,42364,8750,25150,6876,1588
STORE-01,2025-02-01,89.0,44677,8403,22905,7437,5932
STORE-01,2025-03-01,82.1,36777,8661,26655,6102,-4641
STORE-01,2025-04-01,91.5,41113,8682,25375,6708,348
STORE-01,2025-05-01,96.6,46302,8587,23364,6186,8165
STORE-01,2025-06-01,92.9,44262,8683,22937,6987,5655
STORE-01,2025-07-01,87.8,42946,8542,25856,6055,2494
STORE-01,2025-08-01,91.6,45038,8721,21213,7647,7457
STORE-01,2025-09-01,90.8,41298,8804,23873,6983,1638
STORE-01,2025-10-01,89.0,42583,8630,22829,5830,5294
STORE-01,2025-11-01,90.9,42507,8406,25974,7042,1085
STORE-01,2025-12-01,89.5,41529,8541,22912,5695,4381
STORE-02,2025-01-01,76.7,33481,10987,22478,4719,-4703
STORE-02,2025-02-01,76.8,33989,11456,23850,5136,-6453
STORE-02,2025-03-01,72.3,33459,11259,27700,5009,-10509
STORE-02,2025-04-01,76.6,33121,11043,26574,5069,-9565
STORE-02,2025-05-01,79.6,36753,11451,26661,4958,-6317
STORE-02,2025-06-01,73.1,31518,11200,26947,5273,-11903
STORE-02,2025-07-01,74.8,33459,11327,19954,4489,-2311
STORE-02,2025-08-01,74.7,31584,11016,22099,5471,-7002
STORE-02,2025-09-01,76.1,32688,11217,20874,5620,-5024
STORE-02,2025-10-01,74.9,34310,11108,23032,5758,-5589
STORE-02,2025-11-01,77.1,35079,11000,23213,5990,-5124
STORE-02,2025-12-01,79.7,36558,10969,24996,5489,-4895
STORE-03,2025-01-01,79.9,18005,11810,19946,2599,-16350
STORE-03,2025-02-01,78.3,18759,11727,22258,2544,-17771
STORE-03,2025-03-01,75.1,18583,11797,20954,3111,-17279
STORE-03,2025-04-01,78.6,17919,11322,20629,2473,-16505
STORE-03,2025-05-01,75.1,16870,11363,23086,2486,-20066
STORE-03,2025-06-01,68.3,15900,11879,21517,2547,-20043
STORE-03,2025-07-01,82.9,20561,11609,21504,2840,-15392
STORE-03,2025-08-01,75.5,18372,11350,23814,3090,-19882
STORE-03,2025-09-01,75.7,17517,11429,26820,2743,-23475
STORE-03,2025-10-01,70.5,17224,11798,27801,3031,-25407
STORE-03,2025-11-01,79.5,17896,11555,23636,2382,-19676
STORE-03,2025-12-01,80.7,18134,11677,19470,2664,-15677
STORE-04,2025-01-01,97.0,18749,6362,21956,3077,-12646
STORE-04,2025-02-01,96.7,18631,6429,25368,2553,-15718
STORE-04,2025-03-01,84.9,16999,6584,21956,2590,-14130
STORE-04,2025-04-01,97.0,18653,6402,23237,2434,-13419
STORE-04,2025-05-01,96.9,20378,6468,26355,2789,-15235
STORE-04,2025-06-01,96.4,20564,6543,23996,3271,-13245
STORE-04,2025-07-01,94.2,19124,6548,21156,2535,-11114
STORE-04,2025-08-01,92.8,18841,6567,18888,2837,-9451
STORE-04,2025-09-01,91.6,18071,6484,26646,2871,-17930
STORE-04,2025-10-01,96.0,18554,6583,23353,2730,-14112
STORE-04,2025-11-01,96.8,19199,6559,18841,3340,-9541
STORE-04,2025-12-01,97.0,18744,6296,26648,2499,-16698
STORE-05,2025-01-01,70.3,14132,8799,18673,2322,-15661
STORE-05,2025-02-01,76.3,15571,8870,23539,2197,-19036
STORE-05,2025-03-01,78.6,17175,8479,26889,2447,-20640
STORE-05,2025-04-01,79.4,16819,8663,22334,2565,-16744
STORE-05,2025-05-01,79.7,16456,8899,27663,2269,-22375
STORE-05,2025-06-01,79.9,17124,8691,20709,2918,-15194
STORE-05,2025-07-01,78.0,16795,8644,18378,2452,-12679
STORE-05,2025-08-01,70.7,15362,8761,22851,2544,-18794
STORE-05,2025-09-01,70.4,14729,8555,25339,1948,-21113
STORE-05,2025-10-01,78.9,16632,8518,21074,2323,-15282
STORE-05,2025-11-01,72.1,15401,8664,25247,2623,-21133
STORE-05,2025-12-01,64.4,14279,8523,22090,2038,-18372
STORE-06,2025-01-01,79.0,21443,7492,23008,3164,-12221
STORE-06,2025-02-01,85.6,24457,7563,21876,4371,-9352
STORE-06,2025-03-01,85.4,23828,7523,20680,3524,-7899
STORE-06,2025-04-01,68.9,19736,7576,21230,3107,-12176
STORE-06,2025-05-01,83.9,24406,7520,25819,3475,-12408
STORE-06,2025-06-01,77.6,23119,7743,25172,3359,-13155
STORE-06,2025-07-01,84.5,23652,7641,23589,3428,-11005
STORE-06,2025-08-01,75.7,22247,7573,18529,3767,-7622
STORE-06,2025-09-01,82.6,23876,7785,21815,3772,-9496
STORE-06,2025-10-01,77.0,20631,7566,26745,3137,-16817
STORE-06,2025-11-01,73.0,21656,7694,27080,3079,-16197
STORE-06,2025-12-01,81.9,23958,7476,23978,3476,-10971
STORE-07,2025-01-01,90.5,24176,12180,21707,3683,-13395
STORE-07,2025-02-01,85.7,25438,12290,18511,4531,-9894
STORE-07,2025-03-01,87.3,24759,12180,27557,3858,-18835
STORE-07,2025-04-01,91.7,25876,12595,19290,3706,-9715
STORE-07,2025-05-01,92.2,25019,12214,26798,4283,-18276
STORE-07,2025-06-01,95.1,25360,12670,23817,3894,-15022
STORE-07,2025-07-01,84.2,23812,12214,19315,3764,-11480
STORE-07,2025-08-01,83.3,23459,12501,22927,3510,-15479
STORE-07,2025-09-01,92.9,25610,12588,25936,4154,-17068
STORE-07,2025-10-01,81.9,22878,12455,24219,3749,-17545
STORE-07,2025-11-01,84.2,25014,12152,19316,4491,-10945
STORE-07,2025-12-01,82.0,23547,12367,19200,3819,-11838
STORE-08,2025-01-01,92.4,27458,8716,19527,4163,-4948
STORE-08,2025-02-01,97.0,29717,8551,18474,4753,-2061
STORE-08,2025-03-01,87.0,28701,8874,20691,4455,-5318
STORE-08,2025-04-01,92.7,29150,8573,21957,4719,-6099
STORE-08,2025-05-01,82.1,25607,8773,27209,4504,-14879
STORE-08,2025-06-01,91.7,30016,8689,27909,4140,-10723
STORE-08,2025-07-01,97.0,32207,8703,24527,4564,-5587
STORE-08,2025-08-01,83.5,26319,8780,20281,4108,-6850
STORE-08,2025-09-01,86.6,27104,8848,23382,3815,-8941
STORE-08,2025-10-01,95.3,28914,8801,20824,3794,-4505
STORE-08,2025-11-01,85.7,27831,8555,26549,4412,-11686
STORE-08,2025-12-01,92.8,27986,8776,18293,4478,-3561
STORE-09,2025-01-01,87.9,33127,10031,19463,4976,-1343
STORE-09,2025-02-01,95.2,35994,10083,19370,4998,1543
STORE-09,2025-03-01,78.0,29854,10335,20192,5212,-5886
STORE-09,2025-04-01,92.0,36975,10267,27626,6407,-7326
STORE-09,2025-05-01,97.0,39406,10035,24457,5660,-746
STORE-09,2025-06-01,86.7,32349,10429,25027,5346,-8452
STORE-09,2025-07-01,83.0,34165,10251,20488,4721,-1295
STORE-09,2025-08-01,87.4,35373,10021,20176,4778,399
STORE-09,2025-09-01,91.3,35568,10020,23548,5773,-3774
STORE-09,2025-10-01,93.8,35779,10093,20138,5289,259
STORE-09,2025-11-01,88.1,36484,10074,22141,5422,-1153
STORE-09,2025-12-01,82.0,31060,10424,23184,4973,-7522
STORE-10,2025-01-01,85.0,21241,11994,21181,3033,-14968
STORE-10,2025-02-01,81.1,18427,11941,23840,2828,-20182
STORE-10,2025-03-01,87.0,20233,12039,19527,3266,-14599
STORE-10,2025-04-01,83.3,18942,11776,19591,3055,-15479
STORE-10,2025-05-01,85.0,19620,11743,23824,3403,-19350
STORE-10,2025-06-01,85.1,19986,12266,27744,2613,-22636
STORE-10,2025-07-01,78.0,17846,12132,25159,2365,-21810
STORE-10,2025-08-01,88.4,20217,11736,23941,2918,-18377
STORE-10,2025-09-01,90.5,21233,11898,25484,3136,-19285
STORE-10,2025-10-01,85.6,20085,12049,18702,2954,-13620
STORE-10,2025-11-01,81.6,18532,11985,24580,2451,-20484
STORE-10,2025-12-01,75.0,17568,12022,27963,2957,-25374
STORE-11,2025-01-01,76.9,16643,10529,19547,2518,-15951
STORE-11,2025-02-01,83.8,17661,10471,19844,2848,-15501
STORE-11,2025-03-01,81.8,16588,10764,21303,2235,-17714
STORE-11,2025-04-01,80.1,15711,10657,23727,2778,-21450
STORE-11,2025-05-01,89.7,17700,10949,19459,2799,-15508
STORE-11,2025-06-01,84.5,18236,10670,27031,2906,-22371
STORE-11,2025-07-01,84.3,17461,10484,20911,2376,-16309
STORE-11,2025-08-01,85.5,17623,10655,22303,2540,-17875
STORE-11,2025-09-01,81.3,16218,10562,21076,2781,-18201
STORE-11,2025-10-01,87.6,17659,10552,26892,3086,-22871
STORE-11,2025-11-01,86.3,18383,10792,22653,3259,-18321
STORE-11,2025-12-01,84.6,16977,10843,20274,2760,-16899
STORE-12,2025-01-01,75.5,42720,9869,27000,6223,-372
STORE-12,2025-02-01,76.6,44302,9658,24001,7138,3504
STORE-12,2025-03-01,76.9,40877,9843,26993,6120,-2079
STORE-12,2025-04-01,70.1,40200,9689,19143,5584,5784
STORE-12,2025-05-01,74.8,41237,9996,21430,5445,4366
STORE-12,2025-06-01,68.7,37213,10021,26145,6165,-5118
STORE-12,2025-07-01,80.1,42301,9764,20469,5659,6410
STORE-12,2025-08-01,67.6,39255,9852,26740,5538,-2876
STORE-12,2025-09-01,76.2,39521,9657,27210,6262,-3608
STORE-12,2025-10-01,75.8,40756,9732,26179,5693,-847
STORE-12,2025-11-01,74.9,42126,9855,18361,6645,7265
STORE-12,2025-12-01,77.6,43934,9642,18260,7704,8328
