planning_area,population_2025,area_sq_km,population_density_per_sq_km,households_2025,hdb_household_share,business_count,business_density_per_sq_km,avg_daily_traffic_index,mrt_station_count
Ang Mo Kio,146958,14.15,10386,52671,0.665,7710,545,123864,7
Bedok,171867,4.24,40535,54002,0.641,13485,3180,148858,0
Bishan,156932,23.05,6808,54222,0.385,1006,44,123510,7
Bukit Batok,128694,9.06,14205,41436,0.677,16734,1847,72748,4
Bukit Merah,144879,17.74,8167,46632,0.392,9555,539,23801,4
Bukit Panjang,135268,10.2,13262,44663,0.445,13183,1292,47592,0
Choa Chu Kang,79886,14.68,5442,29894,0.698,15620,1064,28647,7
Clementi,162337,15.25,10645,49671,0.64,8374,549,128627,4
Downtown Core,112498,7.47,15060,39381,0.76,7174,960,88316,6
Geylang,137727,24.35,5656,50096,0.645,2478,102,20368,7
Hougang,151324,20.17,7502,57480,0.591,1859,92,95575,6
Jurong East,41023,23.7,1731,13350,0.306,16998,717,24655,4
Jurong West,66090,22.74,2906,21034,0.471,10714,471,88031,5
Kallang,92221,16.35,5640,35289,0.409,11617,711,105922,4
Marine Parade,89820,23.32,3852,29843,0.396,11721,503,142046,6
Novena,25769,5.4,4772,9265,0.834,10589,1961,50097,2
Pasir Ris,84735,7.71,10990,27192,0.486,17112,2219,142862,3
Punggol,89925,4.47,20117,32825,0.785,12052,2696,136834,1
Queenstown,30311,10.49,2890,9614,0.629,3493,333,111848,7
Sembawang,128355,11.86,10823,44117,0.727,14731,1242,70921,2
Sengkang,110305,9.33,11823,32932,0.552,4427,474,144141,4
Serangoon,184765,21.32,8666,68178,0.596,16957,795,40677,5
Singapore River,155608,11.17,13931,54164,0.546,10973,982,73609,0
Tampines,181730,9.54,19049,67538,0.367,11030,1156,49024,4
Tanglin,109478,15.17,7217,32780,0.683,16507,1088,88313,5
Toa Payoh,147537,6.53,22594,44682,0.418,12294,1883,145813,3
Woodlands,174503,20.75,8410,62181,0.265,2106,101,113285,4
Yishun,155523,5.1,30495,49719,0.637,7576,1485,131632,6
Outram,27747,24.72,1122,8527,0.356,10274,416,21051,0
Rochor,148855,20.1,7406,48898,0.814,8326,414,132692,5
River Valley,90725,7.77,11676,30004,0.822,6330,815,105235,5
Orchard,154981,3.62,42812,55479,0.799,4548,1256,91523,5
Newton,109654,21.03,5214,41000,0.472,14345,682,112476,3
Museum,144346,18.7,7719,43506,0.259,1463,78,35019,4
Marina South,92435,19.17,4822,27839,0.807,2798,146,101613,3
Marina East,81886,20.08,4078,26359,0.507,8794,438,104672,7
Straits View,91803,5.09,18036,31973,0.83,4104,806,91847,1
Southern Islands,56551,11.21,5045,19640,0.828,14608,1303,100750,1
Pioneer,141216,5.99,23575,44396,0.762,7385,1233,46251,7
Tuas,36394,22.06,1650,10969,0.427,12449,564,121481,4
Sungei Kadut,94092,16.9,5568,28429,0.481,2436,144,130566,6
Mandai,28890,10.61,2723,8961,0.761,17882,1685,43945,3
Lim Chu Kang,66606,4.87,13677,21391,0.44,5537,1137,108852,0
Simpang,112313,10.19,11022,42107,0.352,15355,1507,50217,5
Seletar,166699,10.49,15891,61077,0.584,14677,1399,26308,5
Changi,33792,19.19,1761,10181,0.812,1654,86,23949,4
Changi Bay,179969,17.21,10457,58334,0.668,6655,387,118235,6
North-Eastern Islands,93148,22.58,4125,35725,0.592,8192,363,92740,1
Central Water Catchment,149243,13.65,10934,55663,0.308,14749,1081,134352,1
Western Water Catchment,145174,6.07,23917,46369,0.619,6591,1086,84617,5
Bukit Timah,179555,18.83,9536,68952,0.844,5731,304,34896,4
Boon Lay,149358,19.86,7521,54737,0.334,1002,50,148798,3
Tengah,73555,15.57,4724,24203,0.561,12247,787,23237,1
